# Analysing data contained in file(s) ['/home/roy/software/deve/a3fe/runtest/t4l/bound/restrain/output/lambda_0.000/run_02/simfile_truncated_100_end_0_start.dat', '/home/roy/software/deve/a3fe/runtest/t4l/bound/restrain/output/lambda_0.125/run_02/simfile_truncated_100_end_0_start.dat', '/home/roy/software/deve/a3fe/runtest/t4l/bound/restrain/output/lambda_0.250/run_02/simfile_truncated_100_end_0_start.dat', '/home/roy/software/deve/a3fe/runtest/t4l/bound/restrain/output/lambda_0.375/run_02/simfile_truncated_100_end_0_start.dat', '/home/roy/software/deve/a3fe/runtest/t4l/bound/restrain/output/lambda_0.500/run_02/simfile_truncated_100_end_0_start.dat', '/home/roy/software/deve/a3fe/runtest/t4l/bound/restrain/output/lambda_1.000/run_02/simfile_truncated_100_end_0_start.dat']
#Overlap matrix
0.2544 0.2053 0.1706 0.1464 0.1293 0.0940
0.2053 0.1879 0.1727 0.1601 0.1499 0.1241
0.1706 0.1727 0.1714 0.1685 0.1650 0.1517
0.1464 0.1601 0.1685 0.1733 0.1757 0.1759
0.1293 0.1499 0.1650 0.1757 0.1832 0.1969
0.0940 0.1241 0.1517 0.1759 0.1969 0.2574
#DG from neighbouring lambda in kcal/mol
0.0000 0.1250 0.3031 0.0072
0.1250 0.2500 0.2461 0.0049
0.2500 0.3750 0.2054 0.0037
0.3750 0.5000 0.1765 0.0029
0.5000 1.0000 0.5358 0.0087
#PMF from MBAR in kcal/mol
0.0000 0.0000 0.0000
0.1250 0.3031 0.0072
0.2500 0.5491 0.0119
0.3750 0.7546 0.0152
0.5000 0.9311 0.0176
1.0000 1.4669 0.0238
#TI average gradients and standard deviation in kcal/mol
0.0000 3.1123 1.5790
0.1250 2.9988 1.6562
0.2500 1.8249 0.9957
0.3750 1.8312 1.1605
0.5000 1.5497 1.0143
1.0000 0.5612 0.4786
#PMF from TI in kcal/mol
0.0000 0.0000
0.1250 0.3819
0.2500 0.6834
0.3750 0.9119
0.5000 1.1232
1.0000 1.6510
#MBAR free energy difference in kcal/mol: 
1.466909, 0.023832  #WARNING SUBSAMPLING DISABLED, CONSIDER RERUN WITH SUBSAMPLING OPTION
#TI free energy difference in kcal/mol: 
1.650958  #WARNING SUBSAMPLING DISABLED, CONSIDER RERUN WITH SUBSAMPLING OPTION 
